"id","order","score","value","weight","color","label"
"306",1,12546,5818,1,"#4527A0","Distance to NYU"
"306",2,10625,15,1,"#673AB7","Number of crimes"
"306",3,12903,332,1,"#9575CD","Affordable units"
"306",4,9140,2,1,"#7986CB","Number of museums"
"306",5,16313,13,1,"#3F51B5","Air quality"
"306",6,4250,7,1,"#283593","Number of art galleries"
"306",7,15000,5,1,"#1A237E","Number of farmers markets"
